paket_numarasi,uydu_statusu,hata_kodu,gonderme_saat,basinc1,basinc2,yukseklik1,yukseklik2,irtifa_farki,inis_hizi,sicaklik,pil_gerilim,gps_latitude,gps_longitude,gps_altitude,pitch,yaw,roll,takim_no,video_aktarim_bilgisi
1,0,1/0/0/0/0,Time,92725,0,741.93,0,741.93,-0.6200000000000045,16.0,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
1,0,1/1/0/0/0,Time,92731,0,741.4,0,741.4,0.4400000000000545,16.0,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
1,0,1/0/0/0/0,Time,92718,0,742.56,0,742.56,-0.8099999999999454,16.1,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
4,0,1/1/0/0/0,Time,92727,0,741.75,0,741.75,0.0900000000000318,16.1,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
5,0,1/1/0/0/0,Time,92728,0,741.66,0,741.66,0.0900000000000318,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
6,0,1/0/0/0/0,Time,92726,0,741.84,0,741.84,-0.1800000000000636,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
7,0,1/1/0/0/0,Time,92730,0,741.49,0,741.49,0.3500000000000227,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
8,0,1/0/0/0/0,Time,92722,0,742.2,0,742.2,-0.7100000000000364,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
9,0,1/1/0/0/0,Time,92727,0,741.75,0,741.75,0.4500000000000455,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
10,0,1/0/0/0/0,Time,92725,0,741.93,0,741.93,-0.1799999999999499,16.1,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
11,0,1/0/0/0/0,Time,92722,0,742.2,0,742.2,-0.2700000000000955,16.1,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
12,0,1/1/0/0/0,Time,92728,0,741.66,0,741.66,0.5400000000000773,16.1,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
13,0,1/0/0/0/0,Time,92724,0,742.02,0,742.02,-0.3600000000000136,16.1,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
14,0,1/1/0/0/0,Time,92731,0,741.4,0,741.4,0.6200000000000045,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
15,0,1/0/0/0/0,Time,92722,0,742.2,0,742.2,-0.8000000000000682,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
16,0,1/0/0/0/0,Time,92719,0,742.47,0,742.47,-0.2699999999999818,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
17,0,1/1/0/0/0,Time,92727,0,741.75,0,741.75,0.7200000000000273,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
18,0,1/0/0/0/0,Time,92724,0,742.02,0,742.02,-0.2699999999999818,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
19,0,1/0/0/0/0,Time,92723,0,742.11,0,742.11,-0.0900000000000318,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
20,0,1/1/0/0/0,Time,92723,0,742.11,0,742.11,0.0,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
21,0,1/1/0/0/0,Time,92724,0,742.02,0,742.02,0.0900000000000318,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
22,0,1/1/0/0/0,Time,92725,0,741.93,0,741.93,0.0900000000000318,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
23,0,1/1/0/0/0,Time,92725,0,741.93,0,741.93,0.0,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
24,0,1/0/0/0/0,Time,92721,0,742.29,0,742.29,-0.3600000000000136,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
25,0,1/1/0/0/0,Time,92726,0,741.84,0,741.84,0.4499999999999318,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
26,0,1/1/0/0/0,Time,92726,0,741.84,0,741.84,0.0,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
27,0,1/0/0/0/0,Time,92720,0,742.38,0,742.38,-0.5399999999999636,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
28,0,1/1/0/0/0,Time,92733,0,741.22,0,741.22,1.1599999999999682,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
29,0,1/0/0/0/0,Time,92726,0,741.84,0,741.84,-0.6200000000000045,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
30,0,1/1/0/0/0,Time,92734,0,741.13,0,741.13,0.7100000000000364,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
31,0,1/0/0/0/0,Time,92729,0,741.57,0,741.57,-0.4400000000000545,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
32,0,1/0/0/0/0,Time,92722,0,742.2,0,742.2,-0.6299999999999955,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
33,0,1/1/0/0/0,Time,92732,0,741.31,0,741.31,0.8900000000001,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
34,0,1/0/0/0/0,Time,92725,0,741.93,0,741.93,-0.6200000000000045,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
35,0,1/0/0/0/0,Time,92724,0,742.02,0,742.02,-0.0900000000000318,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
36,0,1/0/0/0/0,Time,92721,0,742.29,0,742.29,-0.2699999999999818,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
37,0,1/1/0/0/0,Time,92722,0,742.2,0,742.2,0.0899999999999181,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
38,0,1/1/0/0/0,Time,92724,0,742.02,0,742.02,0.1800000000000636,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
39,0,1/1/0/0/0,Time,92725,0,741.93,0,741.93,0.0900000000000318,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
40,0,1/0/0/0/0,Time,92719,0,742.47,0,742.47,-0.5400000000000773,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
41,0,1/1/0/0/0,Time,92726,0,741.84,0,741.84,0.6299999999999955,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
42,0,1/0/0/0/0,Time,92720,0,742.38,0,742.38,-0.5399999999999636,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
43,0,1/1/0/0/0,Time,92723,0,742.11,0,742.11,0.2699999999999818,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
44,0,1/1/0/0/0,Time,92725,0,741.93,0,741.93,0.1800000000000636,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
45,0,1/1/0/0/0,Time,92725,0,741.93,0,741.93,0.0,16.4,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
46,0,1/1/0/0/0,Time,92728,0,741.66,0,741.66,0.2699999999999818,16.4,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
47,0,1/0/0/0/0,Time,92725,0,741.93,0,741.93,-0.2699999999999818,16.4,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
48,0,1/1/0/0/0,Time,92732,0,741.31,0,741.31,0.6200000000000045,16.4,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
49,0,1/0/0/0/0,Time,92725,0,741.93,0,741.93,-0.6200000000000045,16.4,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
50,0,1/1/0/0/0,Time,92725,0,741.93,0,741.93,0.0,16.4,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
51,0,1/0/0/0/0,Time,92723,0,742.11,0,742.11,-0.1800000000000636,16.4,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
52,0,1/1/0/0/0,Time,92727,0,741.75,0,741.75,0.3600000000000136,16.4,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
53,0,1/1/0/0/0,Time,92728,0,741.66,0,741.66,0.0900000000000318,16.4,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
54,0,1/0/0/0/0,Time,92719,0,742.47,0,742.47,-0.8100000000000591,16.4,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
55,0,1/1/0/0/0,Time,92725,0,741.93,0,741.93,0.5400000000000773,16.4,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
56,0,1/1/0/0/0,Time,92727,0,741.75,0,741.75,0.1799999999999499,16.5,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
57,0,1/0/0/0/0,Time,92726,0,741.84,0,741.84,-0.0900000000000318,16.5,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
58,0,1/0/0/0/0,Time,92724,0,742.02,0,742.02,-0.1799999999999499,16.5,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
59,0,1/1/0/0/0,Time,92725,0,741.93,0,741.93,0.0900000000000318,16.5,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
60,0,1/1/0/0/0,Time,92725,0,741.93,0,741.93,0.0,16.5,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
61,0,1/1/0/0/0,Time,92726,0,741.84,0,741.84,0.0899999999999181,16.5,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
62,0,1/0/0/0/0,Time,92721,0,742.29,0,742.29,-0.4499999999999318,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
63,0,1/1/0/0/0,Time,92721,0,742.29,0,742.29,0.0,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
64,0,1/1/0/0/0,Time,92721,0,742.29,0,742.29,0.0,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
65,0,1/1/0/0/0,Time,92722,0,742.2,0,742.2,0.0899999999999181,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
66,0,1/0/0/0/0,Time,92717,0,742.65,0,742.65,-0.4499999999999318,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
67,0,1/1/0/0/0,Time,92728,0,741.66,0,741.66,0.9900000000000092,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
68,0,1/0/0/0/0,Time,92726,0,741.84,0,741.84,-0.1800000000000636,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
69,0,1/0/0/0/0,Time,92723,0,742.11,0,742.11,-0.2699999999999818,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
70,0,1/0/0/0/0,Time,92719,0,742.47,0,742.47,-0.3600000000000136,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
71,0,1/1/0/0/0,Time,92722,0,742.2,0,742.2,0.2699999999999818,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
72,0,1/1/0/0/0,Time,92723,0,742.11,0,742.11,0.0900000000000318,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
73,0,1/1/0/0/0,Time,92731,0,741.4,0,741.4,0.7100000000000364,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
74,0,1/0/0/0/0,Time,92725,0,741.93,0,741.93,-0.5299999999999727,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
75,0,1/1/0/0/0,Time,92725,0,741.93,0,741.93,0.0,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
76,0,1/1/0/0/0,Time,92726,0,741.84,0,741.84,0.0899999999999181,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
77,0,1/1/0/0/0,Time,92727,0,741.75,0,741.75,0.0900000000000318,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
78,0,1/1/0/0/0,Time,92728,0,741.66,0,741.66,0.0900000000000318,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
79,0,1/0/0/0/0,Time,92725,0,741.93,0,741.93,-0.2699999999999818,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
80,0,1/0/0/0/0,Time,92722,0,742.2,0,742.2,-0.2700000000000955,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
81,0,1/1/0/0/0,Time,92725,0,741.93,0,741.93,0.2700000000000955,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
82,0,1/1/0/0/0,Time,92726,0,741.84,0,741.84,0.0899999999999181,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
83,0,1/0/0/0/0,Time,92721,0,742.29,0,742.29,-0.4499999999999318,18.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
84,0,1/1/0/0/0,Time,92729,0,741.57,0,741.57,0.7199999999999136,21.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
85,0,1/1/0/0/0,Time,92736,0,740.95,0,740.95,0.6200000000000045,23.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
86,0,1/0/0/0/0,Time,92733,0,741.22,0,741.22,-0.2699999999999818,24.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
87,0,1/0/0/0/0,Time,92729,0,741.57,0,741.57,-0.3500000000000227,24.4,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
88,0,1/1/0/0/0,Time,92731,0,741.4,0,741.4,0.1700000000000727,23.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
89,0,1/1/0/0/0,Time,92732,0,741.31,0,741.31,0.0900000000000318,23.0,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
90,0,1/0/0/0/0,Time,92730,0,741.49,0,741.49,-0.1800000000000636,22.5,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
91,0,1/1/0/0/0,Time,92730,0,741.49,0,741.49,0.0,22.1,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
1,0,1/0/0/0/0,Time,92721,0,742.29,0,742.29,-0.3600000000000136,17.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
1,0,1/0/0/0/0,Time,92733,0,741.22,0,741.22,-0.1800000000000636,16.8,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
1,0,1/0/0/0/0,Time,92728,0,741.66,0,741.66,-0.169999999999959,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
4,0,1/0/0/0/0,Time,92720,0,742.38,0,742.38,-0.2699999999999818,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
5,0,1/1/0/0/0,Time,92725,0,741.93,0,741.93,0.4500000000000455,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
6,0,1/0/0/0/0,Time,92722,0,742.2,0,742.2,-0.2700000000000955,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
7,0,1/1/0/0/0,Time,92725,0,741.93,0,741.93,0.2700000000000955,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
8,0,1/1/0/0/0,Time,92728,0,741.66,0,741.66,0.2699999999999818,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
9,0,1/0/0/0/0,Time,92722,0,742.2,0,742.2,-0.5400000000000773,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
10,0,1/1/0/0/0,Time,92724,0,742.02,0,742.02,0.1800000000000636,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
11,0,1/0/0/0/0,Time,92719,0,742.47,0,742.47,-0.4500000000000455,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
12,0,1/1/0/0/0,Time,92724,0,742.02,0,742.02,0.4500000000000455,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
13,0,1/1/0/0/0,Time,92726,0,741.84,0,741.84,0.1799999999999499,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
14,0,1/0/0/0/0,Time,92725,0,741.93,0,741.93,-0.0899999999999181,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
15,0,1/0/0/0/0,Time,92720,0,742.38,0,742.38,-0.4500000000000455,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
16,0,1/1/0/0/0,Time,92722,0,742.2,0,742.2,0.1799999999999499,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
17,0,1/1/0/0/0,Time,92722,0,742.2,0,742.2,0.0,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
18,0,1/1/0/0/0,Time,92727,0,741.75,0,741.75,0.4500000000000455,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
19,0,1/1/0/0/0,Time,92732,0,741.31,0,741.31,0.4400000000000545,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
20,0,1/1/0/0/0,Time,92733,0,741.22,0,741.22,0.0899999999999181,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
21,0,1/1/0/0/0,Time,92733,0,741.22,0,741.22,0.0,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
22,0,1/1/0/0/0,Time,92734,0,741.13,0,741.13,0.0900000000000318,16.4,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
